#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-11 23:00:00Z;8,791754;1;3
2024-06-12 00:00:00Z;8,798877;1;3
2024-06-12 01:00:00Z;8,804877;1;3
2024-06-12 02:00:00Z;8,809251;1;3
2024-06-12 03:00:00Z;8,808875;1;3
2024-06-12 04:00:00Z;8,80725;1;3
2024-06-12 05:00:00Z;8,805753;1;3
2024-06-12 06:00:00Z;8,79713;1;3
2024-06-12 07:00:00Z;8,788129;1;3
2024-06-12 08:00:00Z;8,778512;1;3
2024-06-12 09:00:00Z;8,759285;1;3
2024-06-12 10:00:00Z;8,735051;1;3
2024-06-12 11:00:00Z;8,711419;1;3
2024-06-12 12:00:00Z;8,691408;1;3
2024-06-12 13:00:00Z;8,673904;1;3
2024-06-12 14:00:00Z;8,657021;1;3
2024-06-12 15:00:00Z;8,64813;1;3
2024-06-12 16:00:00Z;8,653382;1;3
2024-06-12 17:00:00Z;8,664021;1;3
2024-06-12 18:00:00Z;8,681031;1;3
2024-06-12 19:00:00Z;8,698778;1;3
2024-06-12 20:00:00Z;8,714771;1;3
2024-06-12 21:00:00Z;8,729147;1;3
2024-06-12 22:00:00Z;8,741768;1;3
2024-06-12 23:00:00Z;8,750003;1;3
2024-06-13 00:00:00Z;8,744573;1;3
2024-06-13 01:00:00Z;8,72779;1;3
2024-06-13 02:00:00Z;8,711395;1;3
2024-06-13 03:00:00Z;8,698264;1;3
2024-06-13 04:00:00Z;8,688255;1;3
2024-06-13 05:00:00Z;8,688642;1;3
2024-06-13 06:00:00Z;8,705785;1;3
2024-06-13 07:00:00Z;8,724445;1;3
2024-06-13 08:00:00Z;8,742404;1;3
2024-06-13 09:00:00Z;8,754506;1;3
2024-06-13 10:00:00Z;8,761626;1;3
2024-06-13 11:00:00Z;8,758009;1;3
2024-06-13 12:00:00Z;8,74173;1;3
2024-06-13 13:00:00Z;8,728356;1;3
2024-06-13 14:00:00Z;8,728501;1;3
2024-06-13 15:00:00Z;8,735455;1;3
2024-06-13 16:00:00Z;8,749642;1;3
2024-06-13 17:00:00Z;8,762883;1;3
2024-06-13 18:00:00Z;8,774756;1;3
2024-06-13 19:00:00Z;8,78488;1;3
2024-06-13 20:00:00Z;8,793503;1;3
2024-06-13 21:00:00Z;8,79775;1;3
2024-06-13 22:00:00Z;8,790403;1;3
2024-06-13 23:00:00Z;8,76008;1;3
2024-06-14 00:00:00Z;8,725817;1;3
2024-06-14 01:00:00Z;8,695447;1;3
2024-06-14 02:00:00Z;8,669556;1;3
2024-06-14 03:00:00Z;8,647048;1;3
2024-06-14 04:00:00Z;8,6269;1;3
2024-06-14 05:00:00Z;8,619879;1;3
2024-06-14 06:00:00Z;8,626511;1;3
2024-06-14 07:00:00Z;8,636882;1;3
